exercise_name,muscle_group,difficulty,goal_tags
Push Up,chest,beginner,build muscle;fat loss;general fitness
Bench Press,chest,intermediate,build muscle;strength
Incline Dumbbell Press,chest,intermediate,build muscle
Pull Up,back,intermediate,build muscle;strength
Lat Pulldown,back,beginner,build muscle
Barbell Row,back,intermediate,build muscle;strength
Squat,legs,intermediate,build muscle;strength
Goblet Squat,legs,beginner,build muscle;general fitness
Romanian Deadlift,legs,intermediate,build muscle;strength
Lunge,legs,beginner,fat loss;general fitness
Plank,core,beginner,core strength;general fitness
Hanging Knee Raise,core,intermediate,core strength
Shoulder Press,shoulders,intermediate,build muscle;strength
Lateral Raise,shoulders,beginner,build muscle
Bicep Curl,arms,beginner,build muscle
Tricep Pushdown,arms,beginner,build muscle
Burpees,full body,intermediate,fat loss;conditioning
Jump Rope,full body,beginner,fat loss;conditioning
